Nom du site,Geo Point,Geo Shape,Nom de l'arrêt
Arena Paris Sud 1,"48.8334731703533, 2.28322576566579","{""coordinates"": [2.28322576566579, 48.8334731703533], ""type"": ""Point""}",Arena Paris Sud 1 (SP1)  SPA - CIR W
Arena Paris Sud 1,"48.833927013843, 2.28370303967794","{""coordinates"": [2.28370303967794, 48.833927013843], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - OHE
Arena Paris Sud 1,"48.8308574934816, 2.28398939203512","{""coordinates"": [2.28398939203512, 48.8308574934816], ""type"": ""Point""}",Arena Paris Sud 1 (SP1) - ENG
Arena Paris Sud 1,"48.8338705170517, 2.28363151401838","{""coordinates"": [2.28363151401838, 48.8338705170517], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - OHE
Arena Paris Sud 1,"48.830876607364, 2.28393921809372","{""coordinates"": [2.28393921809372, 48.830876607364], ""type"": ""Point""}",Arena Paris Sud 1 (SP1) - PHP
Arena Paris Sud 1,"48.8338210402501, 2.28379321256618","{""coordinates"": [2.28379321256618, 48.8338210402501], ""type"": ""Point""}",Arena Paris Sud (SPA) SPA SPA SPA - CIR P
Arena Paris Sud 1,"48.8308646611875, 2.28397266738799","{""coordinates"": [2.28397266738799, 48.8308646611875], ""type"": ""Point""}",Arena Paris Sud 1 (SP1) - P2LZ
Arena Paris Sud 1,"48.8331835808656, 2.28299321699158","{""coordinates"": [2.28299321699158, 48.8331835808656], ""type"": ""Point""}",Arena Paris Sud 1 (SP1) - TA
Arena Paris Sud 1,"48.833698629112, 2.28364658595225","{""coordinates"": [2.28364658595225, 48.833698629112], ""type"": ""Point""}",Arena Paris Sud (SPA) - CIR P
Arena Paris Sud 1 - Arena Paris Sud,"48.8323764490135, 2.28119494340468","{""coordinates"": [2.28119494340468, 48.8323764490135], ""type"": ""Point""}",Arena Paris Sud 1
Arena Paris Sud 1 4,"48.8330568148669, 2.28656629657687","{""coordinates"": [2.28656629657687, 48.8330568148669], ""type"": ""Point""}",Arena Paris Sud 1 (SP1) SP4 - PFR-navettes
Arena Paris Sud 4,"48.8290521012244, 2.29229326222733","{""coordinates"": [2.29229326222733, 48.8290521012244], ""type"": ""Point""}",Arena Paris Sud 4/6
Arena Paris Sud 4,"48.8295161349102, 2.28996856240924","{""coordinates"": [2.28996856240924, 48.8295161349102], ""type"": ""Point""}",Arena Paris Sud 4 (SP4) - TA
Arena Paris Sud 4 - Arena Paris Sud 6,"48.8295502287229, 2.28997023686893","{""coordinates"": [2.28997023686893, 48.8295502287229], ""type"": ""Point""}",Arena Paris Sud 4 (SP4) SP6 - TA
Arena Paris Sud 4 - Arena Paris Sud 6,"48.8295838949578, 2.28996944904641","{""coordinates"": [2.28996944904641, 48.8295838949578], ""type"": ""Point""}",Arena Paris Sud 4 (SP4) SP6 - TA
Arena Paris Sud 4 6,"48.8303151302889, 2.2922711430101","{""coordinates"": [2.2922711430101, 48.8303151302889], ""type"": ""Point""}",Arena Paris Sud 6 (SP6) SP4 - P2LZ
Arena Paris Sud 4 6,"48.8302807862628, 2.29227219942889","{""coordinates"": [2.29227219942889, 48.8302807862628], ""type"": ""Point""}",Arena Paris Sud 6 (SP6) SP4 - TX
Arena Paris Sud 4 6,"48.8300565427356, 2.29228942642109","{""coordinates"": [2.29228942642109, 48.8300565427356], ""type"": ""Point""}",Arena Paris Sud 4 (SP4) SP6 - PHP
Arena Paris Sud 4 6,"48.8283625489589, 2.29226897268038","{""coordinates"": [2.29226897268038, 48.8283625489589], ""type"": ""Point""}",Arena Paris Sud 6 (SP6) SP4/6 - CIR W
Arena Paris Sud 4 6,"48.8284252667259, 2.29226465178387","{""coordinates"": [2.29226465178387, 48.8284252667259], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - CIR W
Arena Paris Sud 4 6,"48.8281428285823, 2.29318150380387","{""coordinates"": [2.29318150380387, 48.8281428285823], ""type"": ""Point""}",SPA
Arena Paris Sud 4 6,"48.8298966740742, 2.2922966030619","{""coordinates"": [2.2922966030619, 48.8298966740742], ""type"": ""Point""}",Arena Paris Sud 4 (SP4) SP6 - ENG
Arena Paris Sud 4/6,"48.8287697831142, 2.29228856044516","{""coordinates"": [2.29228856044516, 48.8287697831142], ""type"": ""Point""}",Arena Paris Sud 4 - 6
Arena Paris Sud 4/6,"48.8292130784352, 2.2922984086756","{""coordinates"": [2.2922984086756, 48.8292130784352], ""type"": ""Point""}",Arena Paris Sud 6 (SP6)  SP4/6 SP4 SPA - DDS
Arena Paris Sud 6,"48.8300967738615, 2.29228685634106","{""coordinates"": [2.29228685634106, 48.8300967738615], ""type"": ""Point""}",Arena Paris Sud 6 (SP6) - PHP
Arena Paris Sud 6,"48.8294740730495, 2.28996227420225","{""coordinates"": [2.28996227420225, 48.8294740730495], ""type"": ""Point""}",Arena Paris Sud 6 (SP6) - TA
Arena Paris Sud 6,"48.8296149302035, 2.28996977603318","{""coordinates"": [2.28996977603318, 48.8296149302035], ""type"": ""Point""}",Arena Paris Sud 6 (SP6) - TA
Arena Paris Sud 6,"48.829431950243, 2.29260811634454","{""coordinates"": [2.29260811634454, 48.829431950243], ""type"": ""Point""}",Arena Paris Sud 6 (SP6) - PFR-navettes
Arena Paris Sud 6,"48.8301367962068, 2.2922761268633","{""coordinates"": [2.2922761268633, 48.8301367962068], ""type"": ""Point""}",Arena Paris Sud 6 (SP6) - PHP
Arena Porte de La Chapelle,"48.8991376740722, 2.36624549594075","{""coordinates"": [2.36624549594075, 48.8991376740722], ""type"": ""Point""}",Arena Porte de La Chapelle (CPL) - PFR-PARKING
Arena Porte de La Chapelle,"48.8989945611212, 2.36558882297646","{""coordinates"": [2.36558882297646, 48.8989945611212], ""type"": ""Point""}",Arena Porte de La Chapelle (CPL) - PFR-navettes
Arena Porte de La Chapelle,"48.8989114351636, 2.36469558676696","{""coordinates"": [2.36469558676696, 48.8989114351636], ""type"": ""Point""}",Arena Porte de La Chapelle (CPL) - ENG
Arena Porte de La Chapelle,"48.891937127262, 2.38524650093032","{""coordinates"": [2.38524650093032, 48.891937127262], ""type"": ""Point""}",Arena Porte de La Chapelle (CPL) - DDS
Arena Porte de La Chapelle,"48.8976611600786, 2.35911427036342","{""coordinates"": [2.35911427036342, 48.8976611600786], ""type"": ""Point""}",Arena Porte de La Chapelle (CPL) - CIR P
Arena Porte de la chapelle,"48.8978090001154, 2.35952900007219","{""coordinates"": [2.35952900007219, 48.8978090001154], ""type"": ""Point""}",Arena Porte de La Chapelle (CPL) - PSH-TAXI
Arena Porte de La Chapelle,"48.8992037082583, 2.36334305812235","{""coordinates"": [2.36334305812235, 48.8992037082583], ""type"": ""Point""}",Arena Porte de La Chapelle
Arena Porte de La Chapelle,"48.8988090142176, 2.36287582188521","{""coordinates"": [2.36287582188521, 48.8988090142176], ""type"": ""Point""}",Arena Porte de La Chapelle (CPL) - TX
Arena Porte de La Chapelle,"48.8990433812135, 2.36287467922816","{""coordinates"": [2.36287467922816, 48.8990433812135], ""type"": ""Point""}",Arena Porte de La Chapelle (CPL) - TF
Arena Porte de La Chapelle,"48.8988898189196, 2.36462710639623","{""coordinates"": [2.36462710639623, 48.8988898189196], ""type"": ""Point""}",Arena Porte de La Chapelle (CPL) - PHP
Arena Porte de La Chapelle,"48.8988400148311, 2.36275061200597","{""coordinates"": [2.36275061200597, 48.8988400148311], ""type"": ""Point""}",Arena Porte de La Chapelle (CPL) - P2LZ
Arena Porte de La Chapelle,"48.8980811441686, 2.35939462288548","{""coordinates"": [2.35939462288548, 48.8980811441686], ""type"": ""Point""}",Arena Porte de La Chapelle (CPL) - TAXI
Arena Porte de La Chapelle,"48.8992856780456, 2.36286653240685","{""coordinates"": [2.36286653240685, 48.8992856780456], ""type"": ""Point""}",Arena Porte de La Chapelle (CPL) - DDS
Arena Porte de La Chapelle,"48.8988542930003, 2.36452589411149","{""coordinates"": [2.36452589411149, 48.8988542930003], ""type"": ""Point""}",Arena Porte de La Chapelle (CPL) - CIR W
Arena Porte de La Chapelle,"48.8993139193684, 2.36595847522431","{""coordinates"": [2.36595847522431, 48.8993139193684], ""type"": ""Point""}",Arena Porte de la Chapelle (CPL) - PMR-dépose-min
Arena Porte de La Chapelle,"48.8975466720037, 2.35911342541451","{""coordinates"": [2.35911342541451, 48.8975466720037], ""type"": ""Point""}",Arena Porte de La Chapelle (CPL) - P7LZ
Arena Porte de La Chapelle,"48.8991376740722, 2.36624549594075","{""coordinates"": [2.36624549594075, 48.8991376740722], ""type"": ""Point""}",Arena Porte de La Chapelle (CPL) - PMR-Parking
Arena Porte de La Chapelle,"48.8996379667816, 2.36309362561236","{""coordinates"": [2.36309362561236, 48.8996379667816], ""type"": ""Point""}",Arena Porte de La Chapelle (CPL) - TA
Auteuil Tour Eiffel,"48.8504413779175, 2.27529368482618","{""coordinates"": [2.27529368482618, 48.8504413779175], ""type"": ""Point""}",Auteuil Tour Eiffel
Auteuil Tour Eiffel,"48.8506829567957, 2.27550155588123","{""coordinates"": [2.27550155588123, 48.8506829567957], ""type"": ""Point""}",Auteuil Tour Eiffel
B&B Paris,"48.9027121403874, 2.35919269135223","{""coordinates"": [2.35919269135223, 48.9027121403874], ""type"": ""Point""}",B&B Paris
B&B Saint Quentin,"48.7853690449746, 2.04433361200526","{""coordinates"": [2.04433361200526, 48.7853690449746], ""type"": ""Point""}",B&B Saint Quentin (FR000198D) - TA
Base de regulation CDG,"49.0145088019275, 2.564989549137","{""coordinates"": [2.564989549137, 49.0145088019275], ""type"": ""Point""}",Base de régulation CDG
Bercy - Arena - AND,"48.8379024022629, 2.38202956933619","{""coordinates"": [2.38202956933619, 48.8379024022629], ""type"": ""Point""}",Bercy - Arena
Best Western Saint Quentin,"48.7927888737519, 2.0360787692731","{""coordinates"": [2.0360787692731, 48.7927888737519], ""type"": ""Point""}",Best Western Saint Quentin (HOTEL FR00060D) - TA
BibliothÃ¨que A. Chedid - AND,"48.8499073914432, 2.28565514526566","{""coordinates"": [2.28565514526566, 48.8499073914432], ""type"": ""Point""}",Bibliothèque A. Chedid
Cambronne - AND,"48.8476938406844, 2.30072700274583","{""coordinates"": [2.30072700274583, 48.8476938406844], ""type"": ""Point""}",Cambronne
Cambronne - Night loop 2707,"48.8478171124649, 2.30049408105847","{""coordinates"": [2.30049408105847, 48.8478171124649], ""type"": ""Point""}",Cambronne - Night loop 2707
Cambronne - Night loop 2707,"48.8453812732837, 2.2981623472458","{""coordinates"": [2.2981623472458, 48.8453812732837], ""type"": ""Point""}",Cambronne - Night loop 2707
Campanile Paris Ouest Chaville,"48.8139292244787, 2.19258049925204","{""coordinates"": [2.19258049925204, 48.8139292244787], ""type"": ""Point""}",Campanile Paris Ouest Chaville (TF DDS Hotel) - DDS
Campanile Paris Ouest Nanterre  - AND,"48.8916783026916, 2.2141320530986","{""coordinates"": [2.2141320530986, 48.8916783026916], ""type"": ""Point""}",Campanile Paris Ouest Nanterre
Campanile Saint Quentin en Yvelines,"48.7834541970386, 2.04023804582693","{""coordinates"": [2.04023804582693, 48.7834541970386], ""type"": ""Point""}",Campanile Saint Quentin en Yvelines (TF DDS Hotel) - DDS
CANOPY,"48.8666263191251, 2.28992512704547","{""coordinates"": [2.28992512704547, 48.8666263191251], ""type"": ""Point""}",
Carrefour Pleyel - AND,"48.9175111101613, 2.34477384109555","{""coordinates"": [2.34477384109555, 48.9175111101613], ""type"": ""Point""}",Carrefour Pleyel
CDG - Roissypole - Departs,"49.0106336772477, 2.55918784724818","{""coordinates"": [2.55918784724818, 49.0106336772477], ""type"": ""Point""}",CDG - Roissypole - Départs
CDG Etoile - Night 1,"48.872436064678, 2.2940527124243","{""coordinates"": [2.2940527124243, 48.872436064678], ""type"": ""Point""}",CDG Etoile - Night 1
CDG Etoile - Night 2,"48.8724319481853, 2.29406165335631","{""coordinates"": [2.29406165335631, 48.8724319481853], ""type"": ""Point""}",CDG Etoile - Night 2
Centre Aquatique,"48.9250937752467, 2.35181449209271","{""coordinates"": [2.35181449209271, 48.9250937752467], ""type"": ""Point""}",Centre Aquatique (AQC) - TA
Centre Aquatique,"48.9247111299972, 2.35452597592943","{""coordinates"": [2.35452597592943, 48.9247111299972], ""type"": ""Point""}",Centre Aquatique (AQC) - PFR-PARKING
Centre Aquatique,"48.9229020607673, 2.35513958635393","{""coordinates"": [2.35513958635393, 48.9229020607673], ""type"": ""Point""}",Centre Aquatique (AQC) - P2LZ
Centre Aquatique,"48.9229572252186, 2.35582503505168","{""coordinates"": [2.35582503505168, 48.9229572252186], ""type"": ""Point""}",Centre Aquatique
Centre Aquatique,"48.9244126255697, 2.356294237701","{""coordinates"": [2.356294237701, 48.9244126255697], ""type"": ""Point""}",AQC - TA - DIV
Centre Aquatique,"48.922943038933, 2.35531947758282","{""coordinates"": [2.35531947758282, 48.922943038933], ""type"": ""Point""}",Centre Aquatique (AQC) - ENG
Centre Aquatique,"48.9233615450591, 2.35152651377216","{""coordinates"": [2.35152651377216, 48.9233615450591], ""type"": ""Point""}",Centre Aquatique (AQC) - DDS
Centre Aquatique,"48.9229527864711, 2.35555484157716","{""coordinates"": [2.35555484157716, 48.9229527864711], ""type"": ""Point""}",PHP LZ
Centre Aquatique,"48.9233606767952, 2.35139763068173","{""coordinates"": [2.35139763068173, 48.9233606767952], ""type"": ""Point""}",Centre Aquatique (AQC) - CIR W
Centre Aquatique,"48.9162128831389, 2.35265090177565","{""coordinates"": [2.35265090177565, 48.9162128831389], ""type"": ""Point""}",AQC
Centre Aquatique,"48.9243151098647, 2.3540188320358","{""coordinates"": [2.3540188320358, 48.9243151098647], ""type"": ""Point""}",Centre Aquatique (AQC) - TA
Centre Aquatique,"48.9228959108521, 2.35475462591534","{""coordinates"": [2.35475462591534, 48.9228959108521], ""type"": ""Point""}",Centre Aquatique (AQC) - TF
Centre Aquatique,"48.9247330031411, 2.35480087174455","{""coordinates"": [2.35480087174455, 48.9247330031411], ""type"": ""Point""}",Centre Aquatique (AQC) - PSH-DEPOSE-MIN
Centre Aquatique,"48.9231003698915, 2.35492496266287","{""coordinates"": [2.35492496266287, 48.9231003698915], ""type"": ""Point""}",Centre Aquatique (AQC) - TX
Centre Aquatique,"48.9243858828894, 2.35523001526201","{""coordinates"": [2.35523001526201, 48.9243858828894], ""type"": ""Point""}",AQC - TA - WPO & SWA
Centre Aquatique,"48.9254869003265, 2.35266409962573","{""coordinates"": [2.35266409962573, 48.9254869003265], ""type"": ""Point""}",Centre Aquatique (AQC) - PFR-navettes
Centre Aquatique,"48.9248749999261, 2.35484000000329","{""coordinates"": [2.35484000000329, 48.9248749999261], ""type"": ""Point""}",Centre Aquatique (AQC) - PSH-TAXI
Centre Aquatique - Stade de France,"48.9161041863255, 2.35266252777205","{""coordinates"": [2.35266252777205, 48.9161041863255], ""type"": ""Point""}",P7 LZ STA AQC
Centre Aquatique d'Aubervilliers,"48.9140434908322, 2.40463410488556","{""coordinates"": [2.40463410488556, 48.9140434908322], ""type"": ""Point""}",Centre Aquatique d'Aubervilliers (FDA) - TA
Centre Aquatique d'Aubervilliers,"48.9140365570031, 2.40396693061563","{""coordinates"": [2.40396693061563, 48.9140365570031], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - P2LZ
Centre Aquatique d'Aubervilliers,"48.9138955382371, 2.40376666110449","{""coordinates"": [2.40376666110449, 48.9138955382371], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - TX
Centre aquatique d'Aulnay-sous-Bois,"48.9445221263834, 2.48856382045846","{""coordinates"": [2.48856382045846, 48.9445221263834], ""type"": ""Point""}",Centre aquatique d'Aulnay-sous-Bois (ASB) - P2LZ
Centre aquatique d'Aulnay-sous-Bois,"48.9442041338466, 2.48819497399944","{""coordinates"": [2.48819497399944, 48.9442041338466], ""type"": ""Point""}",Centre aquatique d'Aulnay-sous-Bois (ASB) - TA
Centre aquatique d'Aulnay-sous-Bois,"48.9446153333634, 2.48882374978257","{""coordinates"": [2.48882374978257, 48.9446153333634], ""type"": ""Point""}",Centre aquatique d'Aulnay-sous-Bois (ASB) - TX
Centre de Tir de Chateauroux,"46.8205241870983, 1.75826809271894","{""coordinates"": [1.75826809271894, 46.8205241870983], ""type"": ""Point""}",Centre National de Tir de Châteauroux (CTX) - WKF
Centre de Tir de Chateauroux,"46.8519449892359, 1.70429043959896","{""coordinates"": [1.70429043959896, 46.8519449892359], ""type"": ""Point""}",Centre National de Tir de Châteauroux (CTX) - DDS
Centre de Tir de Chateauroux,"46.8520330358872, 1.70426772929024","{""coordinates"": [1.70426772929024, 46.8520330358872], ""type"": ""Point""}",Centre National de Tir de Châteauroux (CTX) - DDS
Centre de Tir de Chateauroux,"46.8512993018054, 1.70318322289216","{""coordinates"": [1.70318322289216, 46.8512993018054], ""type"": ""Point""}",Centre National de Tir de Châteauroux (CTX) - DDS
Centre des Operations - Flotte Transport,"48.8522672230751, 2.25422105250201","{""coordinates"": [2.25422105250201, 48.8522672230751], ""type"": ""Point""}",Centre des Opérations - Flotte Transport (FOC) - TX
Centre Georges Valbon,"48.9359358487432, 2.39278265547927","{""coordinates"": [2.39278265547927, 48.9359358487432], ""type"": ""Point""}",
Centre Hospitalier de Versailles - Hôpital André Mignot,"48.830968935069, 2.12775130498457","{""coordinates"": [2.12775130498457, 48.830968935069], ""type"": ""Point""}",Centre Hospitalier de Versailles - Hôpital André Mignot
Centre Hospitalier National d'Ophtalmologie des Quinze-Vingts,"48.8512298133211, 2.37220341817346","{""coordinates"": [2.37220341817346, 48.8512298133211], ""type"": ""Point""}",Centre Hospitalier National d'Ophtalmologie des Quinze-Vingts
Centre int. de radio-television,"48.945340402758, 2.42879551795736","{""coordinates"": [2.42879551795736, 48.945340402758], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - CIR W
Centre int. de radio-television,"48.9454533930397, 2.42860373662736","{""coordinates"": [2.42860373662736, 48.9454533930397], ""type"": ""Point""}",Centre international de radio-télévision (IBC) - CIR W
Centre international de radio-television,"48.9447736320788, 2.42945243167014","{""coordinates"": [2.42945243167014, 48.9447736320788], ""type"": ""Point""}",Centre international de radio-télévision (IBC) - PRT
Centre international de radio-television,"48.9431399791363, 2.4310206314414","{""coordinates"": [2.4310206314414, 48.9431399791363], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - TAXI
Centre international de radio-television,"48.9416224832569, 2.42088487810694","{""coordinates"": [2.42088487810694, 48.9416224832569], ""type"": ""Point""}",IBC - Médias - Porte M1 Externe
Centre international de radio-television,"48.9453297917083, 2.42893141329694","{""coordinates"": [2.42893141329694, 48.9453297917083], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - P2LZ
Centre international de radio-television,"48.9458206475951, 2.42824846011903","{""coordinates"": [2.42824846011903, 48.9458206475951], ""type"": ""Point""}",IBC - Médias - Gare routière
